2025-12-08T14:46:18.448175,20,475,475,blindspot_overflow_death,-0.927641,13.626998
2025-12-08T14:46:18.448191,35,475,475,blindspot_overflow_death,-0.990668,14.761733
2025-12-08T14:46:18.448239,88,475,475,blindspot_overflow_death,-0.943803,14.414082
2025-12-08T14:46:18.448267,125,475,475,blindspot_overflow_death,-0.90949,13.5339
2025-12-08T14:46:18.448340,14,476,476,blindspot_overflow_death,-0.997324,13.315214
2025-12-08T14:46:18.448413,115,476,476,blindspot_overflow_death,-0.976898,13.008319
2025-12-08T14:46:18.448628,195,477,477,blindspot_overflow_death,-0.967686,11.651531
2025-12-08T14:46:18.448639,3,478,478,blindspot_overflow_death,-0.828552,10.038039
2025-12-08T14:46:18.448673,44,478,478,blindspot_overflow_death,-0.999393,11.569935
2025-12-08T14:46:18.448698,72,478,478,blindspot_overflow_death,-0.957073,11.636049
2025-12-08T14:46:18.448711,99,478,478,blindspot_overflow_death,-0.980963,11.470587
2025-12-08T14:46:18.448715,101,478,478,blindspot_overflow_death,-0.999974,11.730586
2025-12-08T14:46:18.448739,127,478,478,blindspot_overflow_death,-0.79905,8.927056
2025-12-08T14:46:18.448744,129,478,478,blindspot_overflow_death,-0.867939,9.684297
2025-12-08T14:46:18.448766,151,478,478,blindspot_overflow_death,-0.968279,11.765816
2025-12-08T14:46:18.448824,36,479,479,blindspot_overflow_death,-0.99807,11.65327
2025-12-08T14:46:18.448841,51,479,479,blindspot_overflow_death,-0.944618,10.686427
2025-12-08T14:46:18.448874,110,479,479,blindspot_overflow_death,-0.970813,11.576035
2025-12-08T14:46:18.448917,163,479,479,blindspot_overflow_death,-0.972192,11.161322
2025-12-08T14:46:18.448938,193,479,479,blindspot_overflow_death,-0.979637,10.825478
2025-12-08T14:46:18.448959,24,480,480,blindspot_overflow_death,-0.925413,11.23118
2025-12-08T14:46:18.448987,60,480,480,blindspot_overflow_death,-0.968938,11.694317
2025-12-08T14:46:18.449001,76,480,480,blindspot_overflow_death,-0.994094,11.832702
2025-12-08T14:46:18.449116,62,481,481,blindspot_overflow_death,-0.954,11.559126
2025-12-08T14:46:18.449198,198,481,481,blindspot_overflow_death,-0.797108,9.815795
2025-12-08T14:46:18.449312,178,482,482,blindspot_overflow_death,-0.744228,10.085966
2025-12-08T14:46:18.449333,13,483,483,blindspot_overflow_death,-0.914923,14.278029
2025-12-08T14:46:18.449370,70,483,483,blindspot_overflow_death,-0.79196,12.158647
2025-12-08T14:46:18.449469,34,484,484,blindspot_overflow_death,-0.998092,17.978964
2025-12-08T14:46:18.449496,78,484,484,blindspot_overflow_death,-0.810923,13.882018
2025-12-08T14:46:18.449519,123,484,484,blindspot_overflow_death,-0.583438,10.130338
2025-12-08T14:46:18.449526,128,484,484,blindspot_overflow_death,-0.723707,12.423757
2025-12-08T14:46:18.449615,84,485,485,blindspot_overflow_death,-0.667868,13.071849
2025-12-08T14:46:18.449657,157,485,485,blindspot_overflow_death,-0.960749,19.296231
2025-12-08T14:46:18.449706,43,486,486,blindspot_overflow_death,-0.842696,18.77824
2025-12-08T14:46:18.449729,103,486,486,blindspot_overflow_death,-0.90445,20.319762
2025-12-08T14:46:18.449741,119,486,486,blindspot_overflow_death,-0.762757,16.971059
2025-12-08T14:46:18.449757,138,486,486,blindspot_overflow_death,-0.886082,19.902948
2025-12-08T14:46:18.449772,158,486,486,blindspot_overflow_death,-0.726218,15.951151
2025-12-08T14:46:18.449860,140,487,487,blindspot_overflow_death,-0.627927,15.373994
2025-12-08T14:46:18.449889,191,487,487,blindspot_overflow_death,-0.519273,12.790435
2025-12-08T14:46:18.449936,81,488,488,blindspot_overflow_death,-0.657578,17.978562
2025-12-08T14:46:18.449960,135,488,488,blindspot_overflow_death,-0.861474,23.624199
2025-12-08T14:46:18.449964,141,488,488,blindspot_overflow_death,-0.703774,19.176964
2025-12-08T14:46:18.450003,21,489,489,blindspot_overflow_death,-0.588607,17.584397
2025-12-08T14:46:18.450010,30,489,489,blindspot_overflow_death,-0.504943,14.781029
2025-12-08T14:46:18.450060,146,489,489,blindspot_overflow_death,-0.671159,19.987382
2025-12-08T14:46:18.450072,170,489,489,blindspot_overflow_death,-0.706516,21.147559
2025-12-08T14:46:18.450127,104,490,490,blindspot_overflow_death,-0.497215,15.940208
